student_id,student_name,gender,socioeconomic_cat,household_income,first_gen,avg_grade,total_credits,pass_rate,failed_courses,grade_trend,attendance_rate,attendance_count,total_participation,events_attended,gender_M,socioeconomic_cat_low,socioeconomic_cat_mid
1,0.0,0.0,0.0,50000.0,1,6.25,12.0,0.75,1.0,-2.1000000000000014,0.4888888888888889,45.0,169.66,5.0,1.0,1.0,0.0
1,0.0,0.0,0.0,50000.0,1,6.25,12.0,0.75,1.0,-2.1000000000000014,0.4888888888888889,45.0,169.66,5.0,1.0,1.0,0.0
1,0.0,0.0,0.0,50000.0,1,6.25,12.0,0.75,1.0,-2.1000000000000014,0.4888888888888889,45.0,169.66,5.0,1.0,1.0,0.0
1,0.0,0.0,0.0,50000.0,1,6.25,12.0,0.75,1.0,-2.1000000000000014,0.4888888888888889,45.0,169.66,5.0,1.0,1.0,0.0
2,0.0,0.0,0.0,120000.0,0,4.25,12.0,0.25,3.0,1.300000000000001,0.5333333333333333,45.0,114.49000000000001,4.0,0.0,0.0,1.0
2,0.0,0.0,0.0,120000.0,0,4.25,12.0,0.25,3.0,1.300000000000001,0.5333333333333333,45.0,114.49000000000001,4.0,0.0,0.0,1.0
2,0.0,0.0,0.0,120000.0,0,4.25,12.0,0.25,3.0,1.300000000000001,0.5333333333333333,45.0,114.49000000000001,4.0,0.0,0.0,1.0
2,0.0,0.0,0.0,120000.0,0,4.25,12.0,0.25,3.0,1.300000000000001,0.5333333333333333,45.0,114.49000000000001,4.0,0.0,0.0,1.0
3,0.0,0.0,0.0,200000.0,0,5.25,12.0,0.5,2.0,0.30000000000000077,0.5348837209302325,43.0,63.59,4.0,1.0,0.0,0.0
3,0.0,0.0,0.0,200000.0,0,5.25,12.0,0.5,2.0,0.30000000000000077,0.5348837209302325,43.0,63.59,4.0,1.0,0.0,0.0
3,0.0,0.0,0.0,200000.0,0,5.25,12.0,0.5,2.0,0.30000000000000077,0.5348837209302325,43.0,63.59,4.0,1.0,0.0,0.0
